-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                     nvjet_tst_384x48_64x3_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     378.525us         0.11%     378.525us     378.525us             1  
                    nvjet_tst_64x104_64x10_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     376.895us         0.11%     376.895us      13.461us            28  
                     nvjet_tst_64x40_64x16_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     352.510us         0.11%     352.510us      12.590us            28  
                     nvjet_tst_64x72_64x12_4x2_h_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     344.159us         0.10%     344.159us      12.291us            28  
                                            aten::index         0.28%       2.216ms         0.69%       5.440ms      74.525us     334.846us         0.10%     429.565us       5.884us            73  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     311.807us         0.09%     311.807us      23.985us            13  
                                              aten::sub         0.23%       1.829ms         0.39%       3.108ms      17.364us     276.863us         0.08%     276.863us       1.547us           179  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     250.655us         0.08%     250.655us       1.649us           152  
                                           aten::gather         0.11%     861.110us         0.17%       1.359ms      30.879us     245.406us         0.07%     245.406us       5.577us            44  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     226.462us         0.07%     226.462us       5.960us            38  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     210.239us         0.06%     210.239us       1.965us           107  
                                              aten::mul         0.16%       1.255ms         0.27%       2.139ms      20.568us     198.430us         0.06%     198.430us       1.908us           104  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     196.511us         0.06%     196.511us       1.624us           121  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     194.720us         0.06%     194.720us       6.491us            30  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     187.551us         0.06%     187.551us       1.340us           140  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     175.008us         0.05%     175.008us       0.931us           188  
                                              aten::add         0.18%       1.420ms         0.28%       2.203ms      20.585us     167.231us         0.05%     167.231us       1.563us           107  
triton_red_fused__to_copy_embedding_marlin_gemm_rms_...         0.00%       0.000us         0.00%       0.000us       0.000us     152.031us         0.05%     152.031us       3.620us            42  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     141.920us         0.04%     141.920us       1.774us            80  
                                            aten::clamp         0.14%       1.071ms         0.22%       1.746ms      21.035us     129.503us         0.04%     129.503us       1.560us            83  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     118.652us         0.04%     118.652us       1.119us           106  
                                     triton_poi_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     108.544us         0.03%     108.544us       2.215us            49  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 788.017ms
Self CUDA time total: 330.853ms

