model,refs,layer,head,window,beyond_mass
Qwen/Qwen3-32B,c4,2,0,2048,0.321029
Qwen/Qwen3-32B,c4,2,1,128,0.277154
Qwen/Qwen3-32B,c4,2,1,512,0.164990
Qwen/Qwen3-32B,c4,2,1,2048,0.035854
Qwen/Qwen3-32B,c4,2,2,128,0.797136
Qwen/Qwen3-32B,c4,2,2,512,0.651100
Qwen/Qwen3-32B,c4,2,2,2048,0.268552
Qwen/Qwen3-32B,c4,2,3,128,0.747471
Qwen/Qwen3-32B,c4,2,3,512,0.455097
Qwen/Qwen3-32B,c4,2,3,2048,0.104394
Qwen/Qwen3-32B,c4,2,4,128,0.587979
Qwen/Qwen3-32B,c4,2,4,512,0.240992
Qwen/Qwen3-32B,c4,2,4,2048,0.030618
Qwen/Qwen3-32B,c4,2,5,128,0.768697
Qwen/Qwen3-32B,c4,2,5,512,0.604384
Qwen/Qwen3-32B,c4,2,5,2048,0.297400
Qwen/Qwen3-32B,c4,2,6,128,0.266114
Qwen/Qwen3-32B,c4,2,6,512,0.151364
Qwen/Qwen3-32B,c4,2,6,2048,0.050847
Qwen/Qwen3-32B,c4,2,7,128,0.714258
Qwen/Qwen3-32B,c4,2,7,512,0.371741
Qwen/Qwen3-32B,c4,2,7,2048,0.071769
Qwen/Qwen3-32B,c4,2,8,128,0.736735
Qwen/Qwen3-32B,c4,2,8,512,0.532298
Qwen/Qwen3-32B,c4,2,8,2048,0.189645
Qwen/Qwen3-32B,c4,2,9,128,0.266248
Qwen/Qwen3-32B,c4,2,9,512,0.194113
Qwen/Qwen3-32B,c4,2,9,2048,0.046220
Qwen/Qwen3-32B,c4,2,10,128,0.466578
Qwen/Qwen3-32B,c4,2,10,512,0.307620
Qwen/Qwen3-32B,c4,2,10,2048,0.086341
Qwen/Qwen3-32B,c4,2,11,128,0.496080
Qwen/Qwen3-32B,c4,2,11,512,0.377175
Qwen/Qwen3-32B,c4,2,11,2048,0.120716
Qwen/Qwen3-32B,c4,2,12,128,0.170645
Qwen/Qwen3-32B,c4,2,12,512,0.116237
Qwen/Qwen3-32B,c4,2,12,2048,0.028670
Qwen/Qwen3-32B,c4,2,13,128,0.180380
Qwen/Qwen3-32B,c4,2,13,512,0.135128
Qwen/Qwen3-32B,c4,2,13,2048,0.032552
Qwen/Qwen3-32B,c4,2,14,128,0.682661
Qwen/Qwen3-32B,c4,2,14,512,0.540440
Qwen/Qwen3-32B,c4,2,14,2048,0.222602
Qwen/Qwen3-32B,c4,2,15,128,0.157775
Qwen/Qwen3-32B,c4,2,15,512,0.085289
Qwen/Qwen3-32B,c4,2,15,2048,0.007821
Qwen/Qwen3-32B,c4,2,16,128,0.578091
Qwen/Qwen3-32B,c4,2,16,512,0.290151
Qwen/Qwen3-32B,c4,2,16,2048,0.070207
Qwen/Qwen3-32B,c4,2,17,128,0.635704
Qwen/Qwen3-32B,c4,2,17,512,0.422568
