model,refs,layer,head,window,beyond_mass
Qwen/Qwen3-8B,cnndm,2,21,2048,0.154924
Qwen/Qwen3-8B,cnndm,2,22,128,0.490577
Qwen/Qwen3-8B,cnndm,2,22,512,0.341669
Qwen/Qwen3-8B,cnndm,2,22,2048,0.112851
Qwen/Qwen3-8B,cnndm,2,23,128,0.522300
Qwen/Qwen3-8B,cnndm,2,23,512,0.390176
Qwen/Qwen3-8B,cnndm,2,23,2048,0.130316
Qwen/Qwen3-8B,cnndm,2,24,128,0.271451
Qwen/Qwen3-8B,cnndm,2,24,512,0.188307
Qwen/Qwen3-8B,cnndm,2,24,2048,0.043213
Qwen/Qwen3-8B,cnndm,2,25,128,0.227656
Qwen/Qwen3-8B,cnndm,2,25,512,0.147778
Qwen/Qwen3-8B,cnndm,2,25,2048,0.032418
Qwen/Qwen3-8B,cnndm,2,26,128,0.247310
Qwen/Qwen3-8B,cnndm,2,26,512,0.155873
Qwen/Qwen3-8B,cnndm,2,26,2048,0.035271
Qwen/Qwen3-8B,cnndm,2,27,128,0.345725
Qwen/Qwen3-8B,cnndm,2,27,512,0.228947
Qwen/Qwen3-8B,cnndm,2,27,2048,0.056869
Qwen/Qwen3-8B,cnndm,2,28,128,0.730641
Qwen/Qwen3-8B,cnndm,2,28,512,0.536071
Qwen/Qwen3-8B,cnndm,2,28,2048,0.194005
Qwen/Qwen3-8B,cnndm,2,29,128,0.770613
Qwen/Qwen3-8B,cnndm,2,29,512,0.449928
Qwen/Qwen3-8B,cnndm,2,29,2048,0.093885
Qwen/Qwen3-8B,cnndm,2,30,128,0.822633
Qwen/Qwen3-8B,cnndm,2,30,512,0.627525
Qwen/Qwen3-8B,cnndm,2,30,2048,0.159626
Qwen/Qwen3-8B,cnndm,2,31,128,0.697986
Qwen/Qwen3-8B,cnndm,2,31,512,0.495263
Qwen/Qwen3-8B,cnndm,2,31,2048,0.178526
Qwen/Qwen3-8B,cnndm,3,0,128,0.423900
Qwen/Qwen3-8B,cnndm,3,0,512,0.145166
Qwen/Qwen3-8B,cnndm,3,0,2048,0.049495
Qwen/Qwen3-8B,cnndm,3,1,128,0.077473
Qwen/Qwen3-8B,cnndm,3,1,512,0.051022
Qwen/Qwen3-8B,cnndm,3,1,2048,0.015890
Qwen/Qwen3-8B,cnndm,3,2,128,0.088485
Qwen/Qwen3-8B,cnndm,3,2,512,0.063821
Qwen/Qwen3-8B,cnndm,3,2,2048,0.018869
Qwen/Qwen3-8B,cnndm,3,3,128,0.177690
Qwen/Qwen3-8B,cnndm,3,3,512,0.130958
Qwen/Qwen3-8B,cnndm,3,3,2048,0.040432
Qwen/Qwen3-8B,cnndm,3,4,128,0.780195
Qwen/Qwen3-8B,cnndm,3,4,512,0.613724
Qwen/Qwen3-8B,cnndm,3,4,2048,0.239728
Qwen/Qwen3-8B,cnndm,3,5,128,0.707525
Qwen/Qwen3-8B,cnndm,3,5,512,0.612542
